Removed: [bo-rCN] dimens.xml: dimen/miuix_appcompat_button_inline_content_safe_padding_vertical (wrong value unit)
Removed: [bo-rCN] plurals.xml: plurals/format_correct_eyes_statistics (wrong item format)
Removed: [bo-rCN] plurals.xml: plurals/format_remind_eyes_statistics (wrong item format)
Removed: [bo-rCN] plurals.xml: plurals/last_30_day_correct_eyes_statistics (wrong item format)
Removed: [bo-rCN] plurals.xml: plurals/last_30_day_remind_eyes_statistics (wrong item format)
Removed: [bo-rCN] plurals.xml: plurals/last_30_day_unlock_usage_statistics (wrong item format)
Removed: [bo-rCN] plurals.xml: plurals/last_7_day_correct_eyes_statistics (wrong item format)
Removed: [bo-rCN] plurals.xml: plurals/last_7_day_remind_eyes_statistics (wrong item format)
Removed: [bo-rCN] plurals.xml: plurals/last_7_day_unlock_usage_statistics (wrong item format)
Removed: [ru] plurals.xml: plurals/pcl_set_unlock_pin_summary_new (wrong item format)
Removed: [sl] plurals.xml: plurals/pcl_recording_intro_header_new (wrong item format)
Removed: [sl] plurals.xml: plurals/pcl_unlock_pattern_summary_new (wrong item format)
Removed: [ug-rCN] plurals.xml: plurals/format_correct_eyes_statistics (wrong item format)
Removed: [ug-rCN] plurals.xml: plurals/format_remind_eyes_statistics (wrong item format)
Removed: [ug-rCN] plurals.xml: plurals/last_30_day_correct_eyes_statistics (wrong item format)
Removed: [ug-rCN] plurals.xml: plurals/last_30_day_remind_eyes_statistics (wrong item format)
Removed: [ug-rCN] plurals.xml: plurals/last_30_day_unlock_usage_statistics (wrong item format)
Removed: [ug-rCN] plurals.xml: plurals/last_7_day_correct_eyes_statistics (wrong item format)
Removed: [ug-rCN] plurals.xml: plurals/last_7_day_remind_eyes_statistics (wrong item format)
Removed: [ug-rCN] plurals.xml: plurals/last_7_day_unlock_usage_statistics (wrong item format)
Removed: [zh-rCN] plurals.xml: plurals/format_correct_eyes_statistics (wrong item format)
Removed: [zh-rCN] plurals.xml: plurals/format_remind_eyes_statistics (wrong item format)
Removed: [zh-rCN] plurals.xml: plurals/last_30_day_correct_eyes_statistics (wrong item format)
Removed: [zh-rCN] plurals.xml: plurals/last_30_day_remind_eyes_statistics (wrong item format)
Removed: [zh-rCN] plurals.xml: plurals/last_30_day_unlock_usage_statistics (wrong item format)
Removed: [zh-rCN] plurals.xml: plurals/last_7_day_correct_eyes_statistics (wrong item format)
Removed: [zh-rCN] plurals.xml: plurals/last_7_day_remind_eyes_statistics (wrong item format)
Removed: [zh-rCN] plurals.xml: plurals/last_7_day_unlock_usage_statistics (wrong item format)
Removed: [zh-rHK] plurals.xml: plurals/format_correct_eyes_statistics (wrong item format)
Removed: [zh-rHK] plurals.xml: plurals/format_remind_eyes_statistics (wrong item format)
Removed: [zh-rHK] plurals.xml: plurals/last_30_day_correct_eyes_statistics (wrong item format)
Removed: [zh-rHK] plurals.xml: plurals/last_30_day_remind_eyes_statistics (wrong item format)
Removed: [zh-rHK] plurals.xml: plurals/last_30_day_unlock_usage_statistics (wrong item format)
Removed: [zh-rHK] plurals.xml: plurals/last_7_day_correct_eyes_statistics (wrong item format)
Removed: [zh-rHK] plurals.xml: plurals/last_7_day_remind_eyes_statistics (wrong item format)
Removed: [zh-rHK] plurals.xml: plurals/last_7_day_unlock_usage_statistics (wrong item format)
Removed: [zh-rTW] plurals.xml: plurals/format_correct_eyes_statistics (wrong item format)
Removed: [zh-rTW] plurals.xml: plurals/format_remind_eyes_statistics (wrong item format)
Removed: [zh-rTW] plurals.xml: plurals/last_30_day_correct_eyes_statistics (wrong item format)
Removed: [zh-rTW] plurals.xml: plurals/last_30_day_remind_eyes_statistics (wrong item format)
Removed: [zh-rTW] plurals.xml: plurals/last_30_day_unlock_usage_statistics (wrong item format)
Removed: [zh-rTW] plurals.xml: plurals/last_7_day_correct_eyes_statistics (wrong item format)
Removed: [zh-rTW] plurals.xml: plurals/last_7_day_remind_eyes_statistics (wrong item format)
Removed: [zh-rTW] plurals.xml: plurals/last_7_day_unlock_usage_statistics (wrong item format)
