Removed: [bo-rCN] dimens.xml: dimen/miuix_appcompat_button_inline_content_safe_padding_vertical (wrong value unit)
Removed: [pt-rBR] strings.xml: string/Localizador de App_accessibility_btn_close (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_accessibility_clear_search_bar_text (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_content_branch_privacy_tip (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_drawer_empty_result (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_drawer_no_network (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_drawer_privacy_dialog_btn_agree (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_drawer_privacy_dialog_subtitle (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_drawer_privacy_dialog_tip (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_drawer_privacy_dialog_title (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_drawer_result_loading (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_enjoy_drawer (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_reject_drawer (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_search_bar_hint_content (invalid name)
Removed: [pt-rBR] strings.xml: string/Localizador de App_title_drawer_tip (invalid name)
